copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, circ_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, area_name, respirtry_me_2_rate_3_11_7_13, musculo_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
3.0,12.1319162239516,3.0,3.0,3.0,3.0,24410,11.1485164988107,3.0,34.8115800613598,11.5144381320014,3.46940150018504,3.0,3.0,13.0404613396166,"Maroondah (C)",34.0098778446919,26.325827516083,10.2460850271362,13.3665872775288,16.5192829616671,3.0,3.0,1.8243644323984,3.0,3.0
3.0,14.9627766867082,3.0,3.0,3.0,3.0,24600,13.3407182946649,3.0,35.3101691097798,7.77844940983837,4.64770661682549,3.0,3.0,16.5859655627892,"Melbourne (C)",25.5240154277564,23.9632666380625,10.4243048267045,12.1776892729615,16.4088172497351,3.0,3.0,1.70470529569588,3.0,3.0
3.0,11.8277955345337,3.0,3.0,3.0,3.0,24650,8.19744200188422,3.0,32.1956995059065,10.7886534616096,5.98121904987092,3.0,3.0,15.4530753857325,"Melton (S)",27.8603418508449,27.2876938545313,10.3913551763286,14.1525569193654,17.5345482493854,3.0,3.0,1.85599412109285,3.0,3.0
3.0,14.6430730895979,3.0,3.0,3.0,3.0,24780,12.4215306081482,3.0,32.7445536825003,13.94336612881,4.24512421965231,3.0,3.0,16.8435109374201,"Mildura (RC)",30.6030931413389,27.6579936599766,9.79621459622561,16.2935500152999,17.2855695160031,3.0,3.0,2.1793892229028,3.0,3.0
3.0,13.0801459095451,3.0,3.0,3.0,3.0,24850,10.8748380162341,3.0,33.3593089971848,12.9968998606188,4.14025546446474,3.0,3.0,15.3959912022507,"Mitchell (S)",30.037992365967,27.7012405340021,10.1336165934789,14.7737649316749,17.4298252293638,3.0,3.0,2.03859020094819,3.0,3.0
3.0,14.1248526869093,3.0,3.0,3.0,3.0,24900,11.9890433936811,3.0,33.8264515233216,13.2909865327098,4.17171028272468,3.0,3.0,16.3506755257876,"Moira (S)",30.0536992646346,27.6535314584058,9.50995394531587,15.4183678772252,17.3720362828136,3.0,3.0,2.21809201771256,3.0,3.0
3.0,12.5471052474062,3.0,3.0,3.0,3.0,24970,11.6678397927712,3.0,33.8206553661148,8.89983412408464,4.67583711542818,3.0,3.0,13.473068894915,"Monash (C)",30.7014867171583,24.4116163403177,9.78599628129146,12.7267519429007,15.6278480845028,3.0,3.0,1.6074877880476,3.0,3.0
3.0,11.8956939583151,3.0,3.0,3.0,3.0,25060,9.96486644756371,3.0,32.8663519350268,9.58274713585557,5.58887074793798,3.0,3.0,13.729573383404,"Moonee Valley (C)",28.1759538121926,26.3982252553833,9.96803828864592,13.4490886175048,16.357226976725,3.0,3.0,1.81966533982599,3.0,3.0
3.0,13.4766795847995,3.0,3.0,3.0,3.0,25150,11.3215904632654,3.0,32.9346561446152,13.0714527791154,3.7137923970558,3.0,3.0,15.6313729017036,"Moorabool (S)",29.9668154265792,28.0466033556784,9.96622116719392,14.3026856008366,16.7681127229238,3.0,3.0,2.03454235279786,3.0,3.0
3.0,12.1035101768137,3.0,3.0,3.0,3.0,25250,9.55702957169348,3.0,32.4246267741784,9.43024173156759,6.6788563182256,3.0,3.0,14.5654438144544,"Moreland (C)",28.9031871765479,26.3947411627692,9.94257892212223,15.0048323458519,17.2114088338184,3.0,3.0,1.85151663828863,3.0,3.0
3.0,13.3720846027538,3.0,3.0,3.0,3.0,25340,12.1502823692962,3.0,35.6692467978862,12.1181815023258,3.49808502120205,3.0,3.0,14.5190249787892,"Mornington Peninsula (S)",30.7899430161802,27.9966169649738,9.83432445323271,14.5123499371627,16.4839119168086,3.0,3.0,1.97839652011665,3.0,3.0
1.0,13.9771605129381,3.0,3.0,3.0,3.0,25430,12.6337066640864,3.0,36.3292011493176,13.5193706742145,3.462334114984,3.0,3.0,15.3439645045523,"Mount Alexander (S)",30.7937855097804,28.294321035791,9.80673019364375,14.7770067478359,17.5230038078617,3.0,1.0,2.07133884511792,3.0,3.0
1.0,12.1798058945073,3.0,3.0,3.0,3.0,25490,11.34159161711,3.0,34.8476056358258,12.8298562844427,3.28329408781904,3.0,3.0,13.0877450257643,"Moyne (S)",35.1016951719053,28.2257005411869,10.2292267018591,14.6685474529974,16.5191773342084,3.0,1.0,1.97139900023271,3.0,3.0
1.0,12.7227851706402,3.0,3.0,3.0,3.0,25620,10.8519813108983,3.0,33.5461160429821,12.4971469241178,3.76523065994098,3.0,3.0,14.7456842227779,"Murrindindi (S)",30.2704988750209,27.7129828359459,9.81163192966947,14.316952538773,17.0682842749216,3.0,1.0,2.01002563425934,3.0,3.0
3.0,11.1476323916094,3.0,3.0,3.0,3.0,25710,10.3478239636002,3.0,33.8593650933518,11.8342753260937,3.27982055444805,3.0,3.0,11.9320294165452,"Nillumbik (S)",30.702858770578,25.8445972976745,9.90189642961006,12.6446908422859,13.9801238746206,3.0,3.0,1.67801988005304,3.0,3.0
1.0,15.1644464051927,3.0,3.0,3.0,3.0,25810,12.6446243873684,3.0,34.5291863576036,13.9560777165491,3.8060315966729,3.0,3.0,17.7801433748231,"Northern Grampians (S)",30.8277390881178,30.8267721412515,9.82988908044522,16.9666238236248,17.7384439156711,3.0,1.0,2.14716343470129,3.0,3.0
